利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,1月支払金額,2月繰越残高,新規サイン,支払月
2023/12/30,ｲｵﾝﾓ-ﾙﾜｶﾔﾏ,家族,1回払い,8880,0,8880,8880,0,*,2024年1月
2023/12/28,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,980,0,980,980,0,*,2024年1月
2023/12/24,ｻﾝﾁﾖｸｲﾁﾊﾞﾖﾂﾃﾂﾃ ｲ,家族,1回払い,600,0,600,600,0,*,2024年1月
2023/12/24,ﾑｼﾞﾙｼﾘﾖｳﾋﾝ,家族,1回払い,999,0,999,999,0,*,2024年1月
2023/12/24,ｲｵﾝﾘﾃ-ﾙ ｴｽｴﾑ,家族,1回払い,4391,0,4391,4391,0,*,2024年1月
2023/12/23,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,2862,0,2862,2862,0,*,2024年1月
2023/12/23,NINTENDO CD111514281利用国JPN,本人,1回払い,306,0,306,306,0,*,2024年1月
,現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円,,,,,,,,,2024年1月
2023/12/22,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1166,0,1166,1166,0,*,2024年1月
2023/12/16,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,4194,0,4194,4194,0,*,2024年1月
2023/12/16,楽天証券投信積立１．０％,本人,1回払い,25000,0,25000,25000,0,*,2024年1月
2023/12/16,大阪ガス　　料金,本人,1回払い,6589,0,6589,6589,0,*,2024年1月
2023/12/14,ｻﾝﾄﾞﾗﾂｸﾞ,家族,1回払い,1005,0,1005,1005,0,*,2024年1月
2023/12/13,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1907,0,1907,1907,0,*,2024年1月
2023/12/13,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,1680,0,1680,1680,0,*,2024年1月
2023/12/13,ｱﾏｿﾞﾝ ﾏ-ｹﾂﾄ ﾌﾟﾚｲ,本人,1回払い,1253,0,1253,1253,0,*,2024年1月
2023/12/12,大東建託パートナーズ,家族,1回払い,10653,0,10653,10653,0,*,2024年1月
2023/12/12,大東建託パートナーズ,家族,1回払い,90753,0,90753,90753,0,*,2024年1月
2023/12/10,ﾆｼﾏﾂﾔﾁｴ-ﾝ ｺﾞﾎﾞｳﾃ,家族,1回払い,7683,0,7683,7683,0,*,2024年1月
2023/12/6,楽天ブロードバンド,本人,1回払い,4241,0,4241,4241,0,*,2024年1月
2023/12/2,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1810,0,1810,1810,0,*,2024年1月
2024/1/30,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,2234,0,2234,2234,0,*,2024年2月
2024/1/29,ﾜｶﾔﾏｹﾝﾘﾂｲｶﾀﾞｲｶﾞｸ,家族,1回払い,1480,0,1480,1480,0,*,2024年2月
2024/1/28,ｱﾏｿﾞﾝ ﾏ-ｹﾂﾄ ﾌﾟﾚｲ,家族,1回払い,4400,0,4400,4400,0,*,2024年2月
2024/1/28,ｵ-ｸﾜ ﾜｶﾔﾏﾅｶﾉｼﾏﾃﾝ,家族,1回払い,3055,0,3055,3055,0,*,2024年2月
2024/1/28,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,980,0,980,980,0,*,2024年2月
2024/1/27,ｵﾅﾏｴﾄﾞﾂﾄｺﾑ ﾄﾞﾒｲﾝ,本人,1回払い,1714,0,1714,1714,0,*,2024年2月
2024/1/26,ｷﾞﾖｳﾑｽ-ﾊﾟ- ｽｽﾞﾏﾙ,家族,1回払い,1557,0,1557,1557,0,*,2024年2月
2024/1/25,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1914,0,1914,1914,0,*,2024年2月
2024/1/25,マツキヨキーノ和歌山店,家族,1回払い,954,0,954,954,0,*,2024年2月
2024/1/22,NINTENDO CD114044114利用国JPN,本人,1回払い,306,0,306,306,0,*,2024年2月
,現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円,,,,,,,,,2024年2月
2024/1/20,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,2646,0,2646,2646,0,*,2024年2月
